Name,Disaster,Begin_Date,End_Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,State
Midwest/Plains/Southeast Tornadoes (April 1982),Tornadoes,4/2/82,4/4/82,0,0,KY
Midwest/Plains/Southeast Tornadoes (April 1982),Tornadoes,4/2/82,4/4/82,0,0,LA
Midwest/Plains/Southeast Tornadoes (April 1982),Tornadoes,4/2/82,4/4/82,0,0,MI
Midwest/Plains/Southeast Tornadoes (April 1982),Tornadoes,4/2/82,4/4/82,0,0,MN
Midwest/Plains/Southeast Tornadoes (April 1982),Tornadoes,4/2/82,4/4/82,0,0,MO
Midwest/Plains/Southeast Tornadoes (April 1982),Tornadoes,4/2/82,4/4/82,0,0,MS
Midwest/Plains/Southeast Tornadoes (April 1982),Tornadoes,4/2/82,4/4/82,0,0,NE
Midwest/Plains/Southeast Tornadoes (April 1982),Tornadoes,4/2/82,4/4/82,0,0,OH
Midwest/Plains/Southeast Tornadoes (April 1982),Tornadoes,4/2/82,4/4/82,0,0,OK
Midwest/Plains/Southeast Tornadoes (April 1982),Tornadoes,4/2/82,4/4/82,0,0,PA
Midwest/Plains/Southeast Tornadoes (April 1982),Tornadoes,4/2/82,4/4/82,0,0,TN
Midwest/Plains/Southeast Tornadoes (April 1982),Tornadoes,4/2/82,4/4/82,0,0,TX
Midwest/Plains/Southeast Tornadoes (April 1982),Tornadoes,4/2/82,4/4/82,0,0,WI
Midwest/Plains/Southeast Tornadoes (April 1982),Tornadoes,4/2/82,4/4/82,0,0,WV
Severe Storms (June 1982),Severe Storm,5/31/82,6/10/82,1511.8,30,AR
Severe Storms (June 1982),Severe Storm,5/31/82,6/10/82,0,0,IL
Severe Storms (June 1982),Severe Storm,5/31/82,6/10/82,0,0,KY
Severe Storms (June 1982),Severe Storm,5/31/82,6/10/82,0,0,IN
Severe Storms (June 1982),Severe Storm,5/31/82,6/10/82,0,0,SC
Severe Storms (June 1982),Severe Storm,5/31/82,6/10/82,0,0,GA
Severe Storms (June 1982),Severe Storm,5/31/82,6/10/82,0,0,OH
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,12/1/82,1/15/83,4731.1,45,TX
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,12/1/82,1/15/83,0,0,AR
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,12/1/82,1/15/83,0,0,LA
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,12/1/82,1/15/83,0,0,MS
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,12/1/82,1/15/83,0,0,AL
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,12/1/82,1/15/83,0,0,GA
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,12/1/82,1/15/83,0,0,FL
Western Storms and Flooding (December 1982-March 1983),Flooding,12/13/82,3/31/83,4618.8,50,WA
Western Storms and Flooding (December 1982-March 1983),Flooding,12/13/82,3/31/83,0,0,OR
Western Storms and Flooding (December 1982-March 1983),Flooding,12/13/82,3/31/83,0,0,CA
Western Storms and Flooding (December 1982-March 1983),Flooding,12/13/82,3/31/83,0,0,AZ
Western Storms and Flooding (December 1982-March 1983),Flooding,12/13/82,3/31/83,0,0,NV
Western Storms and Flooding (December 1982-March 1983),Flooding,12/13/82,3/31/83,0,0,ID
Western Storms and Flooding (December 1982-March 1983),Flooding,12/13/82,3/31/83,0,0,UT
Western Storms and Flooding (December 1982-March 1983),Flooding,12/13/82,3/31/83,0,0,MT
Hurricane Alicia (August 1983),Tropical Cyclone,8/17/83,8/20/83,9030,21,TX
Southeast Drought (Summer 1983),Drought,6/1/83,8/31/83,9158.9,0,AL
Southeast Drought (Summer 1983),Drought,6/1/83,8/31/83,0,0,AR
Southeast Drought (Summer 1983),Drought,6/1/83,8/31/83,0,0,GA
Southeast Drought (Summer 1983),Drought,6/1/83,8/31/83,0,0,KY
Southeast Drought (Summer 1983),Drought,6/1/83,8/31/83,0,0,LA
Southeast Drought (Summer 1983),Drought,6/1/83,8/31/83,0,0,MO
Southeast Drought (Summer 1983),Drought,6/1/83,8/31/83,0,0,MS
Southeast Drought (Summer 1983),Drought,6/1/83,8/31/83,0,0,NC
Southeast Drought (Summer 1983),Drought,6/1/83,8/31/83,0,0,SC
Southeast Drought (Summer 1983),Drought,6/1/83,8/31/83,0,0,TN
Southeast Drought (Summer 1983),Drought,6/1/83,8/31/83,0,0,VA
Arizona Flooding (October 1983),Flooding,9/29/83,10/3/83,1200,14,AR
Freeze / Cold Wave (December 1983),Freeze,12/15/83,12/25/83,6198.2,151,FL
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,3/27/84,4/7/84,1773.3,80,GA
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,3/27/84,4/7/84,0,0,FL
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,3/27/84,4/7/84,0,0,SC
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,3/27/84,4/7/84,0,0,NC
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,3/27/84,4/7/84,0,0,VA
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,3/27/84,4/7/84,0,0,MD
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,3/27/84,4/7/84,0,0,DE
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,3/27/84,4/7/84,0,0,NJ
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,3/27/84,4/7/84,0,0,NY
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,3/27/84,4/7/84,0,0,PA
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,3/27/84,4/7/84,0,0,CT
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,3/27/84,4/7/84,0,0,MA
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,3/27/84,4/7/84,0,0,RI
Severe Storms and Hail (June 1984),Severe Storm,6/13/84,6/17/84,1298.4,1,CO
Severe Storms and Hail (June 1984),Severe Storm,6/13/84,6/17/84,0,0,SD
Severe Storms and Hail (June 1984),Severe Storm,6/13/84,6/17/84,0,0,NE
"Winter Storm, Cold Wave (January 1985)",Winter Storm,1/19/85,1/22/85,2393.3,150,TX
"Winter Storm, Cold Wave (January 1985)",Winter Storm,1/19/85,1/22/85,0,0,FL
Florida Freeze (January 1985),Freeze,1/20/85,1/22/85,3432,0,FL
Ohio and Pennsylvania Tornado Outbreak (June 1985),Tornadoes,5/31/85,5/31/85,1686.1,89,OH
Ohio and Pennsylvania Tornado Outbreak (June 1985),Tornadoes,5/31/85,5/31/85,0,0,PN
Hurricane Elena (September 1985),Tropical Cyclone,8/30/85,9/3/85,3619.8,4,FL
Hurricane Elena (September 1985),Tropical Cyclone,8/30/85,9/3/85,0,0,LA
Hurricane Gloria (September 1985),Tropical Cyclone,9/26/85,9/28/85,2388.4,11,CA
Hurricane Gloria (September 1985),Tropical Cyclone,9/26/85,9/28/85,0,0,ME
Hurricane Juan (October 1985),Tropical Cyclone,10/27/85,10/31/85,4160.8,63,LA
Hurricane Juan (October 1985),Tropical Cyclone,10/27/85,10/31/85,0,0,MS
Hurricane Juan (October 1985),Tropical Cyclone,10/27/85,10/31/85,0,0,AL
Hurricane Juan (October 1985),Tropical Cyclone,10/27/85,10/31/85,0,0,FL
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,11/3/85,11/8/85,3878,62,VA
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,11/3/85,11/8/85,0,0,MD
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,11/3/85,11/8/85,0,0,PA
