Name,Disaster,Begin_Date,End_Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,State
Southeast Drought and Heat Wave (Summer 1993),Drought,6/1/93,8/31/93,0,0,TN
Southeast Drought and Heat Wave (Summer 1993),Drought,6/1/93,8/31/93,0,0,VA
California Wildfires (Fall 1993),Wildfire,9/1/93,11/30/93,2852.7,4,CA
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,2142.3,70,CT
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,DE
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,IL
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,IN
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,KY
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,MA
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,MD
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,ME
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,NC
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,NH
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,NJ
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,NY
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,OH
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,PA
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,RI
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,SC
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,TN
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,VA
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,VT
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/94,1/20/94,0,0,WV
Southeast Ice Storm (February 1994),Winter Storm,2/8/94,2/13/94,6175.2,9,TX
Southeast Ice Storm (February 1994),Winter Storm,2/8/94,2/13/94,0,0,OK
Southeast Ice Storm (February 1994),Winter Storm,2/8/94,2/13/94,0,0,AR
Southeast Ice Storm (February 1994),Winter Storm,2/8/94,2/13/94,0,0,LA
Southeast Ice Storm (February 1994),Winter Storm,2/8/94,2/13/94,0,0,MS
Southeast Ice Storm (February 1994),Winter Storm,2/8/94,2/13/94,0,0,AL
Southeast Ice Storm (February 1994),Winter Storm,2/8/94,2/13/94,0,0,TN
Southeast Ice Storm (February 1994),Winter Storm,2/8/94,2/13/94,0,0,GA
Southeast Ice Storm (February 1994),Winter Storm,2/8/94,2/13/94,0,0,SC
Southeast Ice Storm (February 1994),Winter Storm,2/8/94,2/13/94,0,0,NC
Southeast Ice Storm (February 1994),Winter Storm,2/8/94,2/13/94,0,0,VA
Midwest/Plains Tornadoes (April 1994),Tornadoes,4/25/94,4/27/94,2019.4,3,TX
Midwest/Plains Tornadoes (April 1994),Tornadoes,4/25/94,4/27/94,0,0,OK
Midwest/Plains Tornadoes (April 1994),Tornadoes,4/25/94,4/27/94,0,0,AR
Midwest/Plains Tornadoes (April 1994),Tornadoes,4/25/94,4/27/94,0,0,CO
Midwest/Plains Tornadoes (April 1994),Tornadoes,4/25/94,4/27/94,0,0,KS
Midwest/Plains Tornadoes (April 1994),Tornadoes,4/25/94,4/27/94,0,0,NE
Midwest/Plains Tornadoes (April 1994),Tornadoes,4/25/94,4/27/94,0,0,IA
Midwest/Plains Tornadoes (April 1994),Tornadoes,4/25/94,4/27/94,0,0,SD
Midwest/Plains Tornadoes (April 1994),Tornadoes,4/25/94,4/27/94,0,0,IL
Midwest/Plains Tornadoes (April 1994),Tornadoes,4/25/94,4/27/94,0,0,IN
Midwest/Plains Tornadoes (April 1994),Tornadoes,4/25/94,4/27/94,0,0,MN
Midwest/Plains Tornadoes (April 1994),Tornadoes,4/25/94,4/27/94,0,0,MO
Tropical Storm Alberto (July 1994),Tropical Cyclone,7/7/94,7/10/94,2027,32,GA
Tropical Storm Alberto (July 1994),Tropical Cyclone,7/7/94,7/10/94,0,0,AL
Tropical Storm Alberto (July 1994),Tropical Cyclone,7/7/94,7/10/94,0,0,FL
Texas Flooding (October 1994),Flooding,10/16/94,10/25/94,2020,19,TX
Western Fire Season (Summer-Fall 1994),Wildfire,6/1/94,11/30/94,1479,0,CA
Western Fire Season (Summer-Fall 1994),Wildfire,6/1/94,11/30/94,0,0,AZ
Western Fire Season (Summer-Fall 1994),Wildfire,6/1/94,11/30/94,0,0,OR
Western Fire Season (Summer-Fall 1994),Wildfire,6/1/94,11/30/94,0,0,WA
Western Fire Season (Summer-Fall 1994),Wildfire,6/1/94,11/30/94,0,0,CO
Western Fire Season (Summer-Fall 1994),Wildfire,6/1/94,11/30/94,0,0,UT
Western Fire Season (Summer-Fall 1994),Wildfire,6/1/94,11/30/94,0,0,NV
Western Fire Season (Summer-Fall 1994),Wildfire,6/1/94,11/30/94,0,0,NM
Western Fire Season (Summer-Fall 1994),Wildfire,6/1/94,11/30/94,0,0,TX
California Flooding (January-March 1995),Flooding,1/1/95,3/31/95,5025,27,CA
Texas Hail Storm (April 1995),Severe Storm,4/28/95,4/28/95,1144.3,0,TX
South Plains Severe Weather (May 1995),Severe Storm,5/5/95,5/7/95,10863.2,32,TX
South Plains Severe Weather (May 1995),Severe Storm,5/5/95,5/7/95,0,0,OK
South Plains Severe Weather (May 1995),Severe Storm,5/5/95,5/7/95,0,0,LA
South Plains Severe Weather (May 1995),Severe Storm,5/5/95,5/7/95,0,0,MS
Hurricane Erin (August 1995),Tropical Cyclone,8/1/95,8/7/95,1674.5,6,FL
Hurricane Erin (August 1995),Tropical Cyclone,8/1/95,8/7/95,0,0,AL
Hurricane Erin (August 1995),Tropical Cyclone,8/1/95,8/7/95,0,0,MS
Hurricane Marilyn (September 1995),Tropical Cyclone,9/15/95,9/17/95,4137,13,VI
Hurricane Marilyn (September 1995),Tropical Cyclone,9/15/95,9/17/95,0,0,PR
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,7/1/95,9/30/95,1938.9,872,IL
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,7/1/95,9/30/95,0,0,WI
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,7/1/95,9/30/95,0,0,PA
Hurricane Opal (October 1995),Tropical Cyclone,10/4/95,10/6/95,9190.5,27,FL
Hurricane Opal (October 1995),Tropical Cyclone,10/4/95,10/6/95,0,0,AL
Hurricane Opal (October 1995),Tropical Cyclone,10/4/95,10/6/95,0,0,GA
Hurricane Opal (October 1995),Tropical Cyclone,10/4/95,10/6/95,0,0,TN
Blizzard/Floods (January 1996),Winter Storm,1/1/96,1/31/96,5856,187,OR
Blizzard/Floods (January 1996),Winter Storm,1/1/96,1/31/96,0,0,CO
Pacific Northwest Severe Flooding (February 1996),Flooding,2/7/96,2/12/96,1966.2,9,OR
Pacific Northwest Severe Flooding (February 1996),Flooding,2/7/96,2/12/96,0,0,WA
Pacific Northwest Severe Flooding (February 1996),Flooding,2/7/96,2/12/96,0,0,ID
Pacific Northwest Severe Flooding (February 1996),Flooding,2/7/96,2/12/96,0,0,MT
Southern Plains Drought (Spring-Summer 1996),Drought,3/1/96,8/31/96,3493.4,0,TX
Southern Plains Drought (Spring-Summer 1996),Drought,3/1/96,8/31/96,0,0,OK
Hurricane Fran (September 1996),Tropical Cyclone,9/5/96,9/8/96,9563.5,37,NC
Hurricane Fran (September 1996),Tropical Cyclone,9/5/96,9/8/96,0,0,VA
New England Flooding (October 1996),Flooding,10/19/96,10/22/96,1291.2,1,MA
West Coast Flooding (December 1996-January 1997),Flooding,1/1/97,1/11/97,5732.3,36,CA
West Coast Flooding (December 1996-January 1997),Flooding,1/1/97,1/11/97,0,0,WA
West Coast Flooding (December 1996-January 1997),Flooding,1/1/97,1/11/97,0,0,OR
West Coast Flooding (December 1996-January 1997),Flooding,1/1/97,1/11/97,0,0,ID
West Coast Flooding (December 1996-January 1997),Flooding,1/1/97,1/11/97,0,0,NV
West Coast Flooding (December 1996-January 1997),Flooding,1/1/97,1/11/97,0,0,MT
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,2/28/97,3/5/97,1847.4,67,AR
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,2/28/97,3/5/97,0,0,MO
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,2/28/97,3/5/97,0,0,MS
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,2/28/97,3/5/97,0,0,TN
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,2/28/97,3/5/97,0,0,IL
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,2/28/97,3/5/97,0,0,IN
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,2/28/97,3/5/97,0,0,KY
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,2/28/97,3/5/97,0,0,OH
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,2/28/97,3/5/97,0,0,WV
Northern Plains Flooding (Spring 1997),Flooding,2/3/97,5/24/97,6948.5,11,ND
Northern Plains Flooding (Spring 1997),Flooding,2/3/97,5/24/97,0,0,SD
Northern Plains Flooding (Spring 1997),Flooding,2/3/97,5/24/97,0,0,MN
Northeast Ice Storm (January 1998),Winter Storm,1/5/98,1/9/98,2621.3,16,ME
Northeast Ice Storm (January 1998),Winter Storm,1/5/98,1/9/98,0,0,NH
Northeast Ice Storm (January 1998),Winter Storm,1/5/98,1/9/98,0,0,VT
Northeast Ice Storm (January 1998),Winter Storm,1/5/98,1/9/98,0,0,NY
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,12/1/97,2/28/98,1878.3,132,CA
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,12/1/97,2/28/98,0,0,TX
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,12/1/97,2/28/98,0,0,FL
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,12/1/97,2/28/98,0,0,AL
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,12/1/97,2/28/98,0,0,GA
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,12/1/97,2/28/98,0,0,LA
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,12/1/97,2/28/98,0,0,MS
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,12/1/97,2/28/98,0,0,NC
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,12/1/97,2/28/98,0,0,SC
Minnesota Severe Storms/Hail (May 1998),Severe Storm,5/15/98,5/15/98,3017.8,1,MN
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,5/30/98,6/2/98,2106,20,NV
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,5/30/98,6/2/98,0,0,MI
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,5/30/98,6/2/98,0,0,MS
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,5/30/98,6/2/98,0,0,FL
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,5/30/98,6/2/98,0,0,WA
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,5/30/98,6/2/98,0,0,OR
Central and Eastern Severe Storms and Flooding (June 1998),Severe Storm,6/20/98,6/24/98,1654.5,12,OH
Tropical Storm Frances (September 1998),Tropical Cyclone,8/8/98,8/13/98,1295,2,TX
Tropical Storm Frances (September 1998),Tropical Cyclone,8/8/98,8/13/98,0,0,LA
Hurricane Bonnie (August 1998),Tropical Cyclone,8/27/98,8/29/98,1813.1,3,NC
Southern Drought and Heat Wave (Summer 1998),Drought,6/1/98,8/31/98,6597.5,200,AL
Southern Drought and Heat Wave (Summer 1998),Drought,6/1/98,8/31/98,0,0,AR
Southern Drought and Heat Wave (Summer 1998),Drought,6/1/98,8/31/98,0,0,FL
Southern Drought and Heat Wave (Summer 1998),Drought,6/1/98,8/31/98,0,0,GA
Southern Drought and Heat Wave (Summer 1998),Drought,6/1/98,8/31/98,0,0,LA
Southern Drought and Heat Wave (Summer 1998),Drought,6/1/98,8/31/98,0,0,MS
Southern Drought and Heat Wave (Summer 1998),Drought,6/1/98,8/31/98,0,0,NC
Southern Drought and Heat Wave (Summer 1998),Drought,6/1/98,8/31/98,0,0,OK
Southern Drought and Heat Wave (Summer 1998),Drought,6/1/98,8/31/98,0,0,SC
Southern Drought and Heat Wave (Summer 1998),Drought,6/1/98,8/31/98,0,0,TN
Southern Drought and Heat Wave (Summer 1998),Drought,6/1/98,8/31/98,0,0,TX
Southern Drought and Heat Wave (Summer 1998),Drought,6/1/98,8/31/98,0,0,VA
Hurricane Georges (September 1998),Tropical Cyclone,9/20/98,9/29/98,11011.3,16,GA
Texas Flooding (October 1998),Flooding,10/16/98,10/24/98,1733.5,31,TX
California Freeze (December 1998),Freeze,12/20/98,12/28/98,4675,0,CA
Central and Eastern Winter Storm (January 1999),Winter Storm,1/1/99,1/4/99,1900,25,IL
Central and Eastern Winter Storm (January 1999),Winter Storm,1/1/99,1/4/99,0,0,IN
Central and Eastern Winter Storm (January 1999),Winter Storm,1/1/99,1/4/99,0,0,OH
Central and Eastern Winter Storm (January 1999),Winter Storm,1/1/99,1/4/99,0,0,MI
Central and Eastern Winter Storm (January 1999),Winter Storm,1/1/99,1/4/99,0,0,WV
Central and Eastern Winter Storm (January 1999),Winter Storm,1/1/99,1/4/99,0,0,VA
Central and Eastern Winter Storm (January 1999),Winter Storm,1/1/99,1/4/99,0,0,MD
Central and Eastern Winter Storm (January 1999),Winter Storm,1/1/99,1/4/99,0,0,PA
Central and Eastern Winter Storm (January 1999),Winter Storm,1/1/99,1/4/99,0,0,NJ
Central and Eastern Winter Storm (January 1999),Winter Storm,1/1/99,1/4/99,0,0,NY
Central and Eastern Winter Storm (January 1999),Winter Storm,1/1/99,1/4/99,0,0,MA
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1/13/99,1/16/99,1622.8,0,IL
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1/13/99,1/16/99,0,0,IN
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1/13/99,1/16/99,0,0,OH
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1/13/99,1/16/99,0,0,MI
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1/13/99,1/16/99,0,0,WV
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1/13/99,1/16/99,0,0,VA
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1/13/99,1/16/99,0,0,MD
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1/13/99,1/16/99,0,0,PA
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1/13/99,1/16/99,0,0,NJ
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1/13/99,1/16/99,0,0,NY
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1/13/99,1/16/99,0,0,MA
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1/13/99,1/16/99,0,0,CT
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1/13/99,1/16/99,0,0,VT
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1/13/99,1/16/99,0,0,NH
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1/13/99,1/16/99,0,0,ME
Oklahoma and Kansas Tornadoes (May 1999),Tornadoes,5/3/99,5/6/99,3662,55,OK
Oklahoma and Kansas Tornadoes (May 1999),Tornadoes,5/3/99,5/6/99,0,0,KS
Eastern Drought/Heat Wave (Summer 1999),Drought,6/1/99,8/31/99,4597.9,502,AL
Eastern Drought/Heat Wave (Summer 1999),Drought,6/1/99,8/31/99,0,0,AR
Eastern Drought/Heat Wave (Summer 1999),Drought,6/1/99,8/31/99,0,0,FL
Eastern Drought/Heat Wave (Summer 1999),Drought,6/1/99,8/31/99,0,0,GA
Eastern Drought/Heat Wave (Summer 1999),Drought,6/1/99,8/31/99,0,0,KY
Eastern Drought/Heat Wave (Summer 1999),Drought,6/1/99,8/31/99,0,0,LA
Eastern Drought/Heat Wave (Summer 1999),Drought,6/1/99,8/31/99,0,0,MD
Eastern Drought/Heat Wave (Summer 1999),Drought,6/1/99,8/31/99,0,0,MS
Eastern Drought/Heat Wave (Summer 1999),Drought,6/1/99,8/31/99,0,0,NC
Eastern Drought/Heat Wave (Summer 1999),Drought,6/1/99,8/31/99,0,0,NJ
Eastern Drought/Heat Wave (Summer 1999),Drought,6/1/99,8/31/99,0,0,OH
Eastern Drought/Heat Wave (Summer 1999),Drought,6/1/99,8/31/99,0,0,SC
Eastern Drought/Heat Wave (Summer 1999),Drought,6/1/99,8/31/99,0,0,TN
Eastern Drought/Heat Wave (Summer 1999),Drought,6/1/99,8/31/99,0,0,VA
Eastern Drought/Heat Wave (Summer 1999),Drought,6/1/99,8/31/99,0,0,WV
Eastern Drought/Heat Wave (Summer 1999),Drought,6/1/99,8/31/99,0,0,PA
Hurricane Floyd (September 1999),Tropical Cyclone,9/14/99,9/16/99,11684.1,77,SC
Hurricane Floyd (September 1999),Tropical Cyclone,9/14/99,9/16/99,0,0,VA
Hurricane Floyd (September 1999),Tropical Cyclone,9/14/99,9/16/99,0,0,MD
Hurricane Floyd (September 1999),Tropical Cyclone,9/14/99,9/16/99,0,0,PA
Hurricane Floyd (September 1999),Tropical Cyclone,9/14/99,9/16/99,0,0,NY
Hurricane Floyd (September 1999),Tropical Cyclone,9/14/99,9/16/99,0,0,NJ
Hurricane Floyd (September 1999),Tropical Cyclone,9/14/99,9/16/99,0,0,DE
Hurricane Floyd (September 1999),Tropical Cyclone,9/14/99,9/16/99,0,0,RI
Hurricane Floyd (September 1999),Tropical Cyclone,9/14/99,9/16/99,0,0,CT
Hurricane Floyd (September 1999),Tropical Cyclone,9/14/99,9/16/99,0,0,MA
Hurricane Floyd (September 1999),Tropical Cyclone,9/14/99,9/16/99,0,0,NH
Hurricane Floyd (September 1999),Tropical Cyclone,9/14/99,9/16/99,0,0,VT
Southeast Winter Storm (January 2000),Winter Storm,1/21/00,1/24/00,1263.8,4,AL
Southeast Winter Storm (January 2000),Winter Storm,1/21/00,1/24/00,0,0,GA
Southeast Winter Storm (January 2000),Winter Storm,1/21/00,1/24/00,0,0,NC
Southeast Winter Storm (January 2000),Winter Storm,1/21/00,1/24/00,0,0,SC
Southeast Winter Storm (January 2000),Winter Storm,1/21/00,1/24/00,0,0,TN
Southeast Winter Storm (January 2000),Winter Storm,1/21/00,1/24/00,0,0,LA
Southeast Winter Storm (January 2000),Winter Storm,1/21/00,1/24/00,0,0,VA
Southern Severe Weather (March 2000),Severe Storm,3/28/00,3/29/00,1214.4,0,LA
Southern Severe Weather (March 2000),Severe Storm,3/28/00,3/29/00,0,0,TX
Western Fire Season (Spring-Summer 2000),Wildfire,3/1/00,8/31/00,1892,0,CA
Western Fire Season (Spring-Summer 2000),Wildfire,3/1/00,8/31/00,0,0,OR
Western Fire Season (Spring-Summer 2000),Wildfire,3/1/00,8/31/00,0,0,AZ
Western Fire Season (Spring-Summer 2000),Wildfire,3/1/00,8/31/00,0,0,NM
Western Fire Season (Spring-Summer 2000),Wildfire,3/1/00,8/31/00,0,0,WA
South Florida Flooding (October 2000),Flooding,10/3/00,10/4/00,1557,3,FL
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,8945,140,AZ
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,AL
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,AR
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,CA
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,CO
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,FL
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,GA
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,IA
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,KS
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,LA
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,MS
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,MT
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,NE
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,NM
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,OK
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,OR
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,SC
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,TN
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,3/1/00,11/30/00,0,0,TX
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Tornadoes,4/6/01,4/11/01,5292,3,TX
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Tornadoes,4/6/01,4/11/01,0,0,OK
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Tornadoes,4/6/01,4/11/01,0,0,KS
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Tornadoes,4/6/01,4/11/01,0,0,NE
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Tornadoes,4/6/01,4/11/01,0,0,IA
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Tornadoes,4/6/01,4/11/01,0,0,MO
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Tornadoes,4/6/01,4/11/01,0,0,IL
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Tornadoes,4/6/01,4/11/01,0,0,IN
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Tornadoes,4/6/01,4/11/01,0,0,WI
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Tornadoes,4/6/01,4/11/01,0,0,MI
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Tornadoes,4/6/01,4/11/01,0,0,OH
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Tornadoes,4/6/01,4/11/01,0,0,KY
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Tornadoes,4/6/01,4/11/01,0,0,WV
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,4/6/01,4/11/01,0,0,PA
North Central Severe Weather (May 2001),Severe Storm,4/30/01,5/1/01,1147.4,0,MN
North Central Severe Weather (May 2001),Severe Storm,4/30/01,5/1/01,0,0,WI
North Central Severe Weather (May 2001),Severe Storm,4/30/01,5/1/01,0,0,IA
North Central Severe Weather (May 2001),Severe Storm,4/30/01,5/1/01,0,0,NE
Tropical Storm Allison (June 2001),Tropical Cyclone,6/5/01,6/17/01,14487.4,43,TX
Tropical Storm Allison (June 2001),Tropical Cyclone,6/5/01,6/17/01,0,0,LA
Tropical Storm Allison (June 2001),Tropical Cyclone,6/5/01,6/17/01,0,0,MS
Tropical Storm Allison (June 2001),Tropical Cyclone,6/5/01,6/17/01,0,0,FL
Tropical Storm Allison (June 2001),Tropical Cyclone,6/5/01,6/17/01,0,0,VA
Tropical Storm Allison (June 2001),Tropical Cyclone,6/5/01,6/17/01,0,0,PA
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,3517.5,7,NC
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,0,0,GA
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,0,0,VA
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,0,0,TX
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,0,0,AR
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,0,0,MO
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,0,0,MS
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,0,0,TN
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,0,0,IL
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,0,0,IN
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,0,0,KY
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,0,0,PA
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,0,0,MD
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,0,0,NY
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,0,0,OH
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,0,0,WV
Severe Storms and Tornadoes (April 2002),Tornadoes,4/27/02,4/28/02,0,0,KS
Hurricane Lili (October 2002),Tropical Cyclone,8/1/02,8/5/02,1844.5,2,LA
Tropical Storm Isidore (September 2002),Tropical Cyclone,9/25/02,9/27/02,1920.5,5,LA
Tropical Storm Isidore (September 2002),Tropical Cyclone,9/25/02,9/27/02,0,0,MS
Tropical Storm Isidore (September 2002),Tropical Cyclone,9/25/02,9/27/02,0,0,AL
Tropical Storm Isidore (September 2002),Tropical Cyclone,9/25/02,9/27/02,0,0,TN
Eastern Tornadoes and Severe Storms (November 2002),Tornadoes,11/9/02,11/11/02,1195.2,28,AL
Eastern Tornadoes and Severe Storms (November 2002),Tornadoes,11/9/02,11/11/02,0,0,MS
Eastern Tornadoes and Severe Storms (November 2002),Tornadoes,11/9/02,11/11/02,0,0,GA
Eastern Tornadoes and Severe Storms (November 2002),Tornadoes,11/9/02,11/11/02,0,0,TN
Eastern Tornadoes and Severe Storms (November 2002),Tornadoes,11/9/02,11/11/02,0,0,KY
Eastern Tornadoes and Severe Storms (November 2002),Tornadoes,11/9/02,11/11/02,0,0,OH
Eastern Tornadoes and Severe Storms (November 2002),Tornadoes,11/9/02,11/11/02,0,0,PA
U.S. Drought (Spring-Fall 2002),Drought,3/1/02,11/30/02,15310.8,0,CA
U.S. Drought (Spring-Fall 2002),Drought,3/1/02,11/30/02,0,0,OR
U.S. Drought (Spring-Fall 2002),Drought,3/1/02,11/30/02,0,0,AZ
U.S. Drought (Spring-Fall 2002),Drought,3/1/02,11/30/02,0,0,NM
U.S. Drought (Spring-Fall 2002),Drought,3/1/02,11/30/02,0,0,WA
Western Fire Season (Fall 2002),Wildfire,9/1/02,11/30/02,2209.2,21,AZ
Western Fire Season (Fall 2002),Wildfire,9/1/02,11/30/02,0,0,CO
Western Fire Season (Fall 2002),Wildfire,9/1/02,11/30/02,0,0,OR
